word,length,pos,has_okina,has_kahako,bare_form,definition
lohe,4,verb,0,0,lohe,to hear
lohi,4,verb,0,0,lohi,"to be slow, tardy, late"
loke,4,noun,0,0,loke,rose
loko,4,noun,0,0,loko,"pond, lake"
loku,4,noun,0,0,loku,downpour
lole,4,verb,0,0,lole,"to unfold, reverse"
loli,4,noun,0,0,loli,sea cucumber (holothurian)
lolo,4,noun,0,0,lolo,brain
lomi,4,verb,0,0,lomi,"to press on, squeeze, knead, massage"
lono,4,noun,0,0,lono,"news, report, rumor"
lopi,4,noun,0,0,lopi,thread
loʻi,4,noun,1,0,loi,irrigated taro pond
luhi,4,noun,0,0,luhi,"labor, work, pains, toil"
luku,4,verb,0,0,luku,"to destroy, to devastate"
luli,4,verb,0,0,luli,"to totter, to sway"
lulu,4,noun,0,0,lulu,"calm, peace"
luma,4,verb,0,0,luma,to drown
lumi,4,verb,0,0,lumi,to crowd uncomfortably
luna,4,noun,0,0,luna,"top, upper"
lunu,4,noun,0,0,lunu,greed
luʻu,4,verb,1,0,luu,"to dive, plunge or dip onself, to immerse"
lālā,4,noun,0,1,lala,"branch, bough"
lāua,4,pron,0,1,laua,"they two, those two"
lōlō,4,verb,0,1,lolo,"paralyzed, numb, feeble-minded, crazy"
lōpū,4,verb,0,1,lopu,medium
lūlā,4,verb,0,1,lula,"windless, dead still"
maha,4,noun,0,0,maha,temple
mahi,4,verb,0,0,mahi,"to cultivate, to farm"
mahū,4,verb,0,1,mahu,to be weak; to be flat (as diluted kava or stale beer)
maka,4,noun,0,0,maka,eye (organ)
make,4,noun,0,0,make,death
mala,4,verb,0,0,mala,bruised
male,4,noun,0,0,male,phlegm (mucus from the lungs or throat)
malo,4,noun,0,0,malo,loincloth (traditionally worn by men)
malu,4,noun,0,0,malu,shade
malū,4,verb,0,1,malu,secretly
mama,4,verb,0,0,mama,"to chew, masticate (but not swallow)"
mana,4,noun,0,0,mana,mana (religious or spiritual power)
mano,4,num,0,0,mano,four thousand
manu,4,noun,0,0,manu,bird (animal)
manō,4,noun,0,1,mano,shark
maʻa,4,noun,1,0,maa,"custom, habit"
maʻi,4,verb,1,0,mai,"sick, ill"
maʻo,4,verb,1,0,mao,green
mele,4,noun,0,0,mele,"chant, song, poem"
meli,4,noun,0,0,meli,honey
meʻe,4,noun,1,0,mee,hero
mihi,4,noun,0,0,mihi,"repentance, remorse"
mika,4,noun,0,0,mika,mister
miki,4,verb,0,0,miki,to suck in
miko,4,verb,0,0,miko,"seasoned with salt, salted"
mile,4,noun,0,0,mile,mile (unit of measure)
mimi,4,noun,0,0,mimi,urine
mina,4,verb,0,0,mina,"to regret, be sorry, deplore; to grieve for something that is lost"
moko,4,noun,0,0,moko,"pugilism, boxing (traditional and modern)"
moku,4,verb,0,0,moku,"to be broken off, to be severed, to be amputated"
momi,4,noun,0,0,momi,pearl
mona,4,noun,0,0,mona,fat (specialized animal tissue)
moni,4,verb,0,0,moni,"to swallow, to gulp down"
moʻa,4,verb,1,0,moa,cooked
moʻo,4,noun,1,0,moo,"lizard, dragon, serpent"
muku,4,verb,0,0,muku,"cut short, shortened"
muli,4,noun,0,0,muli,"after, afterward, by and by"
muʻe,4,verb,1,0,mue,bitter
māhu,4,noun,0,1,mahu,"steam, vapor"
māhū,4,noun,0,1,mahu,"a person of the third gender, having traditional spiritual and social roles in the cultures of Hawaii and Tahiti"
mākū,4,noun,0,1,maku,"dregs, sediments, lees"
māla,4,noun,0,1,mala,garden
mālō,4,verb,0,1,malo,taut
māmā,4,noun,0,1,mama,"lightness, state of little weight"
māua,4,pron,0,1,maua,First person dual exclusive
mīka,4,noun,0,1,mika,meter (unit of measure)
mōhā,4,verb,0,1,moha,fully developed
mōlī,4,noun,0,1,moli,the Laysan albatross.
mōʻī,4,noun,1,1,moi,majesty
naha,4,verb,0,0,naha,"bent, curved"
nahā,4,verb,0,1,naha,"to crack, to break, to smash"
naio,4,noun,0,0,naio,pinworm
naka,4,noun,0,0,naka,"Thaumatodon nesophila, a kind of land snail"
naku,4,verb,0,0,naku,to wallow
nalo,4,noun,0,0,nalo,fly (any two-winged insect)
nalu,4,noun,0,0,nalu,wave
nana,4,verb,0,0,nana,Lānaʻi form of ulana (“to plait”)
nani,4,verb,0,0,nani,"to be lovely, pretty, nice"
naʻi,4,verb,1,0,nai,"to conquer, take by force"
naʻu,4,pron,1,0,nau,"mine, for me, by me"
nene,4,verb,0,0,nene,"to stir, to move"
neʻe,4,verb,1,0,nee,"to creep, to move gradually"
